nil	cat	day	diff
14	Travel & Transport	2014-09-07	6
15	Arts & Entertainment	2014-09-02	0
15	Arts & Entertainment	2014-09-03	3
15	Arts & Entertainment	2014-09-04	1
15	Arts & Entertainment	2014-09-05	5
15	Arts & Entertainment	2014-09-06	9
15	Arts & Entertainment	2014-09-07	4
15	College & University	2014-09-02	0
15	College & University	2014-09-03	4
15	College & University	2014-09-04	4
15	College & University	2014-09-05	5
15	College & University	2014-09-06	5
15	College & University	2014-09-07	1
15	Food	2014-09-02	1
15	Food	2014-09-03	2
15	Food	2014-09-04	6
15	Food	2014-09-05	5
15	Food	2014-09-06	12
15	Food	2014-09-07	5
15	Nightlife Spot	2014-09-02	0
15	Nightlife Spot	2014-09-03	2
15	Nightlife Spot	2014-09-04	3
15	Nightlife Spot	2014-09-05	2
15	Nightlife Spot	2014-09-06	0
15	Nightlife Spot	2014-09-07	4
15	Outdoors & Recreation	2014-09-02	0
15	Outdoors & Recreation	2014-09-03	0
15	Outdoors & Recreation	2014-09-04	3
15	Outdoors & Recreation	2014-09-05	2
15	Outdoors & Recreation	2014-09-06	5
15	Outdoors & Recreation	2014-09-07	1
15	Professional & Other Places	2014-09-02	3
15	Professional & Other Places	2014-09-03	8
15	Professional & Other Places	2014-09-04	8
15	Professional & Other Places	2014-09-05	8
15	Professional & Other Places	2014-09-06	8
15	Professional & Other Places	2014-09-07	1
15	Residence	2014-09-02	0
15	Residence	2014-09-03	0
15	Residence	2014-09-04	0
15	Residence	2014-09-05	0
15	Residence	2014-09-06	0
15	Residence	2014-09-07	1
15	Shop & Service	2014-09-02	1
15	Shop & Service	2014-09-03	5
15	Shop & Service	2014-09-04	6
15	Shop & Service	2014-09-05	5
15	Shop & Service	2014-09-06	12
15	Shop & Service	2014-09-07	9
15	Travel & Transport	2014-09-02	2
15	Travel & Transport	2014-09-03	3
15	Travel & Transport	2014-09-04	0
15	Travel & Transport	2014-09-05	1
15	Travel & Transport	2014-09-06	2
15	Travel & Transport	2014-09-07	0
16	Arts & Entertainment	2014-09-02	0
16	Arts & Entertainment	2014-09-03	0
16	Arts & Entertainment	2014-09-04	1
16	Arts & Entertainment	2014-09-05	0
16	Arts & Entertainment	2014-09-06	0
16	Arts & Entertainment	2014-09-07	0
16	Food	2014-09-02	0
16	Food	2014-09-03	3
16	Food	2014-09-04	5
16	Food	2014-09-05	2
16	Food	2014-09-06	5
16	Food	2014-09-07	5
16	Nightlife Spot	2014-09-02	0
16	Nightlife Spot	2014-09-03	1
16	Nightlife Spot	2014-09-04	0
16	Nightlife Spot	2014-09-05	0
16	Nightlife Spot	2014-09-06	0
16	Nightlife Spot	2014-09-07	1
16	Outdoors & Recreation	2014-09-02	1
16	Outdoors & Recreation	2014-09-03	3
16	Outdoors & Recreation	2014-09-04	2
16	Outdoors & Recreation	2014-09-05	2
16	Outdoors & Recreation	2014-09-06	3
16	Outdoors & Recreation	2014-09-07	3
16	Professional & Other Places	2014-09-02	0
16	Professional & Other Places	2014-09-03	6
16	Professional & Other Places	2014-09-04	10
16	Professional & Other Places	2014-09-05	6
16	Professional & Other Places	2014-09-06	3
16	Professional & Other Places	2014-09-07	8
16	Shop & Service	2014-09-02	0
16	Shop & Service	2014-09-03	0
16	Shop & Service	2014-09-04	1
16	Shop & Service	2014-09-05	2
16	Shop & Service	2014-09-06	3
16	Shop & Service	2014-09-07	4
16	Travel & Transport	2014-09-02	1
16	Travel & Transport	2014-09-03	5
16	Travel & Transport	2014-09-04	7
16	Travel & Transport	2014-09-05	5
16	Travel & Transport	2014-09-06	7
16	Travel & Transport	2014-09-07	1
17	Food	2014-09-02	0
17	Food	2014-09-03	0
17	Food	2014-09-04	0
17	Food	2014-09-05	0
17	Food	2014-09-06	1
17	Food	2014-09-07	0
17	Outdoors & Recreation	2014-09-02	0
17	Outdoors & Recreation	2014-09-03	0
17	Outdoors & Recreation	2014-09-04	1
17	Outdoors & Recreation	2014-09-05	0
17	Outdoors & Recreation	2014-09-06	0
17	Outdoors & Recreation	2014-09-07	2
17	Professional & Other Places	2014-09-02	0
17	Professional & Other Places	2014-09-03	1
17	Professional & Other Places	2014-09-04	0
17	Professional & Other Places	2014-09-05	0
17	Professional & Other Places	2014-09-06	0
17	Professional & Other Places	2014-09-07	0
17	Shop & Service	2014-09-02	0
17	Shop & Service	2014-09-03	2
17	Shop & Service	2014-09-04	0
17	Shop & Service	2014-09-05	1
17	Shop & Service	2014-09-06	0
17	Shop & Service	2014-09-07	2
18	College & University	2014-09-02	0
18	College & University	2014-09-03	0
18	College & University	2014-09-04	1
18	College & University	2014-09-05	0
18	College & University	2014-09-06	0
18	College & University	2014-09-07	0
18	Food	2014-09-02	0
18	Food	2014-09-03	3
18	Food	2014-09-04	2
18	Food	2014-09-05	5
18	Food	2014-09-06	4
18	Food	2014-09-07	2
18	Nightlife Spot	2014-09-02	0
18	Nightlife Spot	2014-09-03	1
18	Nightlife Spot	2014-09-04	0
18	Nightlife Spot	2014-09-05	1
18	Nightlife Spot	2014-09-06	0
18	Nightlife Spot	2014-09-07	0
18	Outdoors & Recreation	2014-09-02	1
18	Outdoors & Recreation	2014-09-03	1
18	Outdoors & Recreation	2014-09-04	1
18	Outdoors & Recreation	2014-09-05	2
18	Outdoors & Recreation	2014-09-06	4
18	Outdoors & Recreation	2014-09-07	2
18	Professional & Other Places	2014-09-02	1
18	Professional & Other Places	2014-09-03	8
18	Professional & Other Places	2014-09-04	8
18	Professional & Other Places	2014-09-05	10
18	Professional & Other Places	2014-09-06	7
18	Professional & Other Places	2014-09-07	0
18	Shop & Service	2014-09-02	8
18	Shop & Service	2014-09-03	1
18	Shop & Service	2014-09-04	2
18	Shop & Service	2014-09-05	9
18	Shop & Service	2014-09-06	3
18	Shop & Service	2014-09-07	3
18	Travel & Transport	2014-09-02	0
18	Travel & Transport	2014-09-03	4
18	Travel & Transport	2014-09-04	2
18	Travel & Transport	2014-09-05	8
18	Travel & Transport	2014-09-06	3
18	Travel & Transport	2014-09-07	2
19	College & University	2014-09-02	0
19	College & University	2014-09-03	2
19	College & University	2014-09-04	0
19	College & University	2014-09-05	2
19	College & University	2014-09-06	0
19	College & University	2014-09-07	1
19	Food	2014-09-02	2
19	Food	2014-09-03	8
19	Food	2014-09-04	9
19	Food	2014-09-05	4
19	Food	2014-09-06	4
19	Food	2014-09-07	1
19	Nightlife Spot	2014-09-02	0
19	Nightlife Spot	2014-09-03	0
19	Nightlife Spot	2014-09-04	1
19	Nightlife Spot	2014-09-05	0
19	Nightlife Spot	2014-09-06	1
19	Nightlife Spot	2014-09-07	0
19	Outdoors & Recreation	2014-09-02	0
19	Outdoors & Recreation	2014-09-03	3
19	Outdoors & Recreation	2014-09-04	3
19	Outdoors & Recreation	2014-09-05	1
19	Outdoors & Recreation	2014-09-06	2
19	Outdoors & Recreation	2014-09-07	0
19	Professional & Other Places	2014-09-02	2
19	Professional & Other Places	2014-09-03	4
19	Professional & Other Places	2014-09-04	6
19	Professional & Other Places	2014-09-05	5
19	Professional & Other Places	2014-09-06	2
19	Professional & Other Places	2014-09-07	2
19	Shop & Service	2014-09-02	2
19	Shop & Service	2014-09-03	1
19	Shop & Service	2014-09-04	0
19	Shop & Service	2014-09-05	2
19	Shop & Service	2014-09-06	2
19	Shop & Service	2014-09-07	2
19	Travel & Transport	2014-09-02	2
19	Travel & Transport	2014-09-03	8
19	Travel & Transport	2014-09-04	9
19	Travel & Transport	2014-09-05	9
19	Travel & Transport	2014-09-06	4
19	Travel & Transport	2014-09-07	2
2	Arts & Entertainment	2014-09-02	2
2	Arts & Entertainment	2014-09-03	5
2	Arts & Entertainment	2014-09-04	4
2	Arts & Entertainment	2014-09-05	33
2	Arts & Entertainment	2014-09-06	38
2	Arts & Entertainment	2014-09-07	26
2	College & University	2014-09-02	0
2	College & University	2014-09-03	0
2	College & University	2014-09-04	0
2	College & University	2014-09-05	1
2	College & University	2014-09-06	0
2	College & University	2014-09-07	1
2	Food	2014-09-02	50
2	Food	2014-09-03	76
2	Food	2014-09-04	44
2	Food	2014-09-05	57
2	Food	2014-09-06	100
2	Food	2014-09-07	83
2	Nightlife Spot	2014-09-02	11
2	Nightlife Spot	2014-09-03	18
2	Nightlife Spot	2014-09-04	14
2	Nightlife Spot	2014-09-05	14
2	Nightlife Spot	2014-09-06	21
2	Nightlife Spot	2014-09-07	37
2	Outdoors & Recreation	2014-09-02	11
2	Outdoors & Recreation	2014-09-03	17
2	Outdoors & Recreation	2014-09-04	14
2	Outdoors & Recreation	2014-09-05	23
2	Outdoors & Recreation	2014-09-06	13
2	Outdoors & Recreation	2014-09-07	20
2	Professional & Other Places	2014-09-02	5
2	Professional & Other Places	2014-09-03	19
2	Professional & Other Places	2014-09-04	17
2	Professional & Other Places	2014-09-05	18
2	Professional & Other Places	2014-09-06	28
2	Professional & Other Places	2014-09-07	3
2	Shop & Service	2014-09-02	3
2	Shop & Service	2014-09-03	11
2	Shop & Service	2014-09-04	9
2	Shop & Service	2014-09-05	17
2	Shop & Service	2014-09-06	6
2	Shop & Service	2014-09-07	11
2	Travel & Transport	2014-09-02	11
2	Travel & Transport	2014-09-03	20
2	Travel & Transport	2014-09-04	16
2	Travel & Transport	2014-09-05	24
2	Travel & Transport	2014-09-06	25
2	Travel & Transport	2014-09-07	27
20	Arts & Entertainment	2014-09-02	0
20	Arts & Entertainment	2014-09-03	0
